Context,Behavior,Definition,Detail Page URL
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Greeting-Rumble (7),"An explosive burst of long (~5-7 seconds) powerful, throaty, highly modulated and overlapping rumbles when members of a social group come together after a period of more prolonged separation. We refer to these calls as Greeting-Rumbles. Typically, participants approach one another face to face and then, when they meet one another, may turn or Pirouette to stand in parallel while Head-Raising, Ear-Lifting, and streaming with Temporin. Audible Rapid-Ear-Flapping may be heard as the calling continues and the participants may Urinate and Defecate, and may engage in Tusk-Clicking, Open-Mouth-to-Open-Mouth, High-Fiving and reciprocal Trunk-to-Mouth. After the initial explosive greeting, an exchange of lower intensity and less modulated Rumbles continues as the greeting proceeds.References:Moss 1981; Poole & Moss 1983; Poole et al 1988; Poole 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=116&cvid=MTEyMywxMTI0LDExMjUsMTEyNiwyMDc5LDIwODAsMjMyMQ==
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Head-Raising (7),"Raising the head during an excited, affiliative interaction such as a Little-Greeting, Greeting, Caressing, Coalition formation. It is typically associated with affiliative vocalizations, including, but not limited to the Little-Greeting-Rumble, Greeting-Rumble, Coo-Rumble, As-Touched-Rumble, Female-Chorus, Mating-Pandemonium, Coalition-Rumbling. This posture is different from Head-High in that the elephant's neck appears to be extended upwards and outwards so that the head appears more separate from the rest of the body. In the Head-High posture the elephant's neck is extended upward but not outward. Head-Raising is observed in all age/sex groups except adult males.References:Poole 1996: 93; Payne, 2003; Poole & Granli 2003; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=122&cvid=Nzg4LDc4OSw3OTAsNzkxLDc5Miw3OTMsNzk0
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Head-Rub (0),An elephant rubs another with his or her head.References:Goldenberg & Wittemyer 2018. (Full reference list),https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=336&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Head-Shaking (3),"An abrupt shaking of the head, which causes the ears to flap sharply and dust to fly. Head-Shaking usually starts by the elephant twisting the head to one side and then rapidly rotating it from side to side. The ears slap against the side of the face or neck making a loud smacking sound.Head-Shaking occurs in a broad range of contexts. It can be a sign of an individual's annoyance with or disapproval of an individual or circumstance. It can be used as a threat to other elephants or in confrontations with predators, as well as in play in feign annoyance. It also occurs during intense social events such as Greeting-Ceremonies or the arrival of an awaited individual.Head-Shaking may also occur after a longish period of contemplation - as if the individual has considered something and the Head-Shake is an outward expression of those feelings. Head-Shaking also typically follows a bout of mud-splashing or mud wallowing.This behavior is observed in all age/sex groups except during Affiliative bonding behavior in which it is limited to female adults, adolescents, juveniles and calves.References:Douglas-Hamilton 1972: ch 6; Eltringham 1982; Poole 1987a; Moss 1988; Moss 1992: 129; Payne & Langbauer 1992; Poole 1996: 147; Langbauer 2000; Poole & Granli 2003. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=123&cvid=MzY1LDE1OTQsMTU5NQ==
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Lean (0),One elephant presses all or part of its body against another.References:O’Connell-Rodwell et al 2011. (Full reference list),https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=338&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Lifting (1),"Using the feet, tusks or trunk to attempt to lift or carry an infant, to get it to its feet, up a bank, out of a well, or similar predicament, or to assist a helpless, injured, dying or dead elephant. For dead elephants see Lift-Body. In the context of calves or infants this is exclusively an adult female behavior, although adolescent and juvenile females certainly assist calves and may attempt to lift them. Adult males and females may attempt to lift injured, dying or dead elephants.References:Douglas-Hamilton 1972: ch 6; Moss 1992: 123, 124, 129; Poole 1996: 95, 98 137, 159; Payne, 2003; McComb et al 2006; Bates et al 2008; Poole & Granli 2003; Poole & Granli 2011 [see also Body-Lifting]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=140&cvid=MjI0OA==
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Little-Greeting-Rumble (13),"A Rumbling, greeting exchange between members of an elephant family in which one (usually older and female) approaches another (usually younger, in parallel and from behind). Typically, the approaching elephant emits a soft, tonal Rumble of medium duration (2.5-4 seconds) to which the elephant being approached, responds by Head-Raising, Ear-Lifting and sometimes Backing-Towards the approaching elephant and emitting a responding, more noisy Rumble of medium duration and moderate intensity (although these are highly variable). Often both individuals Head-Raise and Ear-Lift and the two may Social-Rub against one another, touch one another or greet Trunk-to-Mouth. Both are likely to secrete Temporin. This interchange is a relatively frequent event in an elephant family and we refer to it as Little-Greeting-Rumbles. Examination of spectrograms indicate that in almost every case both the approaching and approached elephant call (although the softer call of the former may be drowned out by the more powerful call of the latter) and that their Rumbles overlap. In some cases nearby elephants may also join in. Elephants may also call in this manner when one approaches another face to face, although this pattern is less common.Little-Greeting-Rumbles may occur between any member of an elephant family, including between two males, but they are most commonly heard between females. Little-Greetings occur more often between mother-daughter, sister-sister, grandmother-granddaughter pairs than expected by chance, and less often between aunt-niece, great-grandmother-great-granddaughter or pairs who were second cousins. Yet, some exchanges aunt-niece pairs show a high frequency of Little-Greeting-Rumble exchanges. In each case these are pairs in which the niece was an infant prior to the aunt having her first calf, and the aunt was the most likely candidate in the family for taking the role of allomother. Calves and their caretakers (often sisters and aunts) emit Coo-Rumble and As-Touched-Rumble exchanges under rather similar circumstances to Little-Greeting-Rumble exchanges and we believe that the Coo-Rumble and As-Touched-Rumble probably develops into a Little-Greeting-Rumble relationship.We venture to propose that the relationships established through early vocal and tactile care-giving by mothers, sisters and other allomothers form the basis of close bonds observed as adults which are then strengthened and reinforced through the customary Little-Greetings between closely bonded pairs. The care-takers who looked after the Tsavo orphans were able to elicit the same type of answer Rumbles from the orphaned calves by individually calling out their names. Members of an elephant family appear to use this common vocal exchange as a way of saying something like 'hello, its good to be near you again' or, perhaps, 'you are important to me'.References:Poole 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=141&cvid=MTEwMCwxMTAxLDExMDIsMTEwMywxMTA0LDExMDUsMTEwNiwxMTA3LDExMDgsMTEwOSwxOTc5LDE5ODAsMjI1MA==
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Nasal-Throb (0),"A throbbing or fluttering movement in the forehead of an elephant at the position where the nasal passages enter the skull (located in the center of the forehead just above the eyes), which occurs when air is pulsating through the nasal passages. This is particularly visible when a large adult male gives a deep throbbing Musth-Rumble. In some cases dust on the forehead can be dislodged by the movement and become airborne. Occasionally throbbing of the forehead can be detected when an adult female Rumbles. This fluttering is more apparent in Asian elephants who have a prominant bulge at the location where the nasal passages enter the skull.References:Payne et al 1986, Poole & Granli 2021. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=382&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Nasal-Trumpet (1),"A nasal sounding trumpet of less than a second in duration that is noisier and significantly lower in frequency than all other trumpets. Nasal-Trumpets are most often associated with very exuberant play and sound like a large man blowing his nose. They may also be given by highly aroused individuals during social bonding events, such as Greetings. It seems that Nasal-Trumpeting participants may force air more slowly through the upper part of the nasal passages causing it to reverberate down the length of the trunk at a lower frequency. Calves, juveniles, adolescents and adults are all capable of producing these trumpets.References:Poole & Granli 2004; Poole 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=166&cvid=MTE4NA==
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Open-Mouth (2),"Opening the mouth. Covered by the trunk the mouths of elephants are not very obvious sources of visual displays, but during excited vocal interactions elephants open their mouths wide, often holding their trunks curved upward, exposing the mouth. During many social interactions elephants become highly aroused, opening their mouths to Rumble, Roar or scream at very high sound pressure levels. Typically, Open-Mouth indicates vocalization, but Open-Mouth is also observed during Sparring when elephants raise their trunks over the heads. Open-Mouth may also be observed during aggressive interactions, when an elephant, often an adult female, may hold her mouth open as she aggressively follows another. It is possible that she is producing a very low frequency vocalization, but often the mouth is held open for a longer time than would be typical of a Rumble.All age/sex groups may be observed displaying Open-Mouth, but it is much more common among female elephants than among males. Males might be observed exhibiting Open-Mouth when Roaring in protest in a Submissive context, while females show Open-Mouth in Affiliative, Aggressive, Movement Space & Leadership, Coalition Building, Birth, Advertisement & Attraction and Submission contexts. Infants and calves will exhibit Open-Mouth in a Calf Protection and Reassurance context.References:Poole et al 1988; Poole 1996: 275; Poole & Granli 2003; Poole & Granli 2011 [Mouth-Opening]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=168&cvid=MTU2MywxOTk2
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Open-Mouth-to-Open-Mouth (0),"Opening the mouth while touching it to another elephant’s mouth who is also displaying Open-Mouth. This behavior may be displayed by adult females during Greetings and Coalition Building, during High-Fiving, and by all age/sex classes during bouts of Sparring.References:Poole & Granli 2021. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=169&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Orient-Away (0),"Reorientation of the body to face or look away from another elephant, animal or object of interest. Displayed by all age/sex groups.References:Poole 1982; Poole 1987a; Poole 1989a; Poole & Granli 2003 [Turn-Away]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=170&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Orient-Toward (0),"Reorientation of the body to face or look at another elephant, animal or object of interest. Displayed by all age/sex groups.References:Poole 1982; Kahl & Armstrong 2000; Poole & Granli 2003; Poole & Granli 2011 [Turn-Toward]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=171&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Pirouette (0),"Spinning or pivoting around, so as to turn rapidly toward and away from others. Pirouetting may be displayed by highly aroused individuals during exuberant Social Play or between adult and adolescent females during intense Affiliative or Coalition Building events or other Bonding behavior (such as Greeting-Ceremonies), when relatives come together in a close cluster Head-Raising, Ear-Lifting and Rapid-Ear-Flapping, vocalizing, Urinating and Defecating.Pirouetting is likely an extreme form of Reach-Touch where elephants may turn rapidly to reach out to with their trunks to closely bonded companions.References:Poole 1982: 37; Moss 1988; Poole 1996; Payne 2003; Poole & Granli 2003; Poole & Granli 2004; Poole & Granli 2011 [Spinning, Pirouette-Run]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=182&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Rapid-Ear-Flapping (4),"Flapping the ears vigorously and rapidly in a raised position. Rapid-Ear-Flapping is usually associated with Head-Raising and Ear-Folding. This behavior is almost always seen in the context of greeting or bonding interactions that involve chorused calling such as Bonding-Ceremonies, Coalitions, High-Fiving, End-Zone-Dance, Female-Choring, Greeting-Ceremonies, Mating-Pandemoniums. In Coalition Building and Advertisement & Attraction contexts this behavior is observed among adult, adolescent and juvenile females; In Affiliative contexts female calves also participate.References:Moss 1981; Poole 1982: 37, 50; Moss 1988; Poole et al 1988; Poole 1998; Poole & Granli 2003; Payne, 2003; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=193&cvid=MTA1MiwxMDUzLDEwNTQsMTA1NQ==
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Reach-Touch (0),"Swinging of the trunk and body during intense social arousal to touch nearest neighbor relatives during Bonding, Coalition and Bunching behavior. Sometimes the reaching and touching may include Grasp-Trunk. The elephant(s) usually secrete Temporin and rumble softly to one another, while Head-Raising, Ear-Lifting and Rapid-Ear-Flapping. Engaged in primarily by adult and adolescent females.References:Poole 1982; Moss 1988; Poole & Granli 2003; Poole & Granli 2011 [Trunk-Grasping]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=195&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Rest-Head (2),"An elephant resting his or her head on another. Rest-Head often occurs during play when one elephant rests his or her head on the back or flank of another. It is also often observed in a resting group when one elephant rests his or her head on a nearby elephant. In Courtship a male may Rest-Head on an estrous female as a prelude to Mounting. On rarer occasions a female may Rest-Head on another female in a display of dominance. On several occasions we have observed this behavior in the presence of a newborn infant, sometimes during an attempted kidnapping, when a dominant female places her head on the back of a younger mother.References:Poole & Granli 2003; Goldenberg and Wittemyer 2018 [Rest-Chin]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=337&cvid=MjEwMiwyMTAz
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Rev (1),"A short (<1 second="""" tonal="""" vocalization="""" that="""" is="""" almost="""" always="""" followed="""" by="""" a="""" rumble="""" without="""" an="""" exhalation="""" the="""" rev="""" has="""" harmonic="""" structure="""" and="""" appearance="""" similar="""" to="""" short="""" but="""" its="""" fundamental="""" frequency="""" 50-90="""" hz="""" significantly="""" higher="""" revs="""" are="""" very="""" rarely="""" heard="""" in="""" wild="""" little="""" known="""" about="""" their="""" usage="""" p="""">References:Leong et al 2003; Poole 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=320&cvid=MTE1Nw==
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Run-Toward (0),An elephant running eagerly toward another in an affiliative or helping rather than a pursuing context.(Full reference list),https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=350&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Sashay (2),"An elephant taking exaggerated sideways steps, to manoeuvre rapidly into a new position that is immediately to the elephant’s left or right. This movement is classically seen by adult males (usually in musth) during Duelling or Escalated-Contests where a male tries to manoeuvre himself into a better position. It may similarly be observed among males during Sparring.Further, Sashaying may be observed among adult, adolescent and juvenile females as members of a family jockey for a better position during Affiliative behavior such as a Bonding-Ceremony, or by an adult female - or male - during Attacking or Mobbing behavior.References:Poole & Granli 2021. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=224&cvid=MTUzNiwyNzg4
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Snort (0),"A short (typically less than a second in duration), sharp, noisy, broadband sound produced by purposefully blowing air through the trunk. Elephants may Snort when they are surprised or annoyed by something, or indignant about something another has done, or during intense social excitement. In these contexts Snorts may be less explosive Trumpets, which are also given in similar contexts. Elephants may also Snort apparently to alert other members of their group to a new situation.A Snort is audibly distinguishable from the more common Blow or Sneeze (blowing, sneezing, wheezing, and coughing sounds) that appears to be made for the purpose of clearing the nasal passages. A Snort sounds sharper and more purposeful than a Blow and may also be distinguished by context.Humans snort in similar circumstances.According to the Cambridge English Dictionary a Snort is an explosive sound made by forcing air up or down the nose; to suddenly express strong feelings of anger, disapproval, or disagreement. The Merriam-Webster Dictionary adds that a snort is used to express scorn, anger, indignation, derision, incredulity or surprise.References:Berg 1983; Leong et al 2003; Stoeger-Horwath et al 2007; Poole 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=245&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Social-Rubbing (6),"Approaching a stationary individual from behind and rubbing the head, ear, shoulder and/or flank against the standing individual. This behavior is used in an affiliative context and occurs most often between closely bonded individuals. Infants and calves may use a stationary elephant (especially the mother) like a tree stump on which to vigorously rub. Calves may also Social-Rub against their mother to Solicit-Food or Solicit-Suckling, as if in appeasement.Particularly younger animals may Social-Rub during Social Play when they engage in pushing, leaning and rubbing against the body, head or legs of another, who may be standing, kneeling or lying down.References:Douglas-Hamilton 1972: 112; Lee 1986, 1987; Moss 1988; Poole 1996: 275; Payne 2003; Poole & Granli 2003; Poole & Granli 2004; Poole & Granli 2011; O’Connell-Rodwell et al 2011 [Rub]; Goldenberg & Wittemyer 2018. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=246&cvid=OTMyLDkzMyw5MzQsOTM1LDE3NzQsMTc3NQ==
